City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Byron Bay,AU,2021-09-22 19:30:19,-28.65,153.6167,286.12,85,21,3.28
245,Praya,CV,2021-09-22 19:33:18,14.9215,-23.5087,301.45,61,20,5.14
246,Tashigang,BT,2021-09-22 19:33:18,27.3331,91.5542,291.66,93,25,1.79
247,Iqaluit,CA,2021-09-22 19:30:12,63.7506,-68.5145,274.0,86,90,3.09
248,Jutai,BR,2021-09-22 19:33:19,-5.1833,-68.9,300.52,79,100,1.41
249,Pocone,BR,2021-09-22 19:33:19,-16.2567,-56.6228,313.23,17,0,0.28
250,Haines Junction,CA,2021-09-22 19:33:19,60.7522,-137.5108,274.12,69,97,2.06
251,Vera Cruz,BR,2021-09-22 19:33:20,-12.6333,-41.0333,307.35,20,3,3.66
252,Taiyuan,CN,2021-09-22 19:33:20,37.8694,112.5603,290.07,82,100,4.0
253,Kurilsk,RU,2021-09-22 19:33:20,45.2333,147.8833,288.81,96,100,0.85
254,Vallenar,CL,2021-09-22 19:32:05,-28.5708,-70.7581,297.15,21,0,3.3
255,Lexington,US,2021-09-22 19:33:21,37.9887,-84.4777,292.01,88,90,0.45
256,Floresta,BR,2021-09-22 19:33:21,-8.6011,-38.5686,309.65,18,32,1.58
257,Lerwick,GB,2021-09-22 19:33:22,60.1545,-1.1494,284.15,82,100,9.94
258,Nantucket,US,2021-09-22 19:33:05,41.2835,-70.0995,298.34,85,22,6.62
259,Basco,PH,2021-09-22 19:33:22,20.4487,121.9702,302.21,76,23,6.6
260,Faanui,PF,2021-09-22 19:30:51,-16.4833,-151.75,298.62,69,0,2.91
261,Lebu,CL,2021-09-22 19:30:17,-37.6167,-73.65,285.49,61,36,2.27
262,Carutapera,BR,2021-09-22 19:33:23,-1.195,-46.02,301.55,71,72,4.57
263,Rovaniemi,FI,2021-09-22 19:33:23,66.5,25.7167,279.82,70,40,5.66
264,Dickinson,US,2021-09-22 19:33:23,29.4608,-95.0513,302.13,41,1,2.68
265,Kamenka,RU,2021-09-22 19:33:24,51.3223,42.7678,282.85,78,100,2.63
266,Zarand,IR,2021-09-22 19:33:24,30.8127,56.564,298.07,14,100,2.92
267,Hambantota,LK,2021-09-22 19:33:24,6.1241,81.1185,300.11,83,50,7.06
268,Zalantun,CN,2021-09-22 19:33:25,48.0,122.7167,281.64,88,0,2.42
269,Derzhavinsk,KZ,2021-09-22 19:33:25,51.1,66.3167,280.42,42,2,2.39
270,Flinders,AU,2021-09-22 19:33:25,-34.5833,150.8552,285.75,82,0,0.89
